code_insee,code_postal,latitude,longitude,nom_commune,departement
53054,53810,48.1079801148,-0.800104772023,CHANGE,53
56124,56140,47.8076863788,-2.38701072581,MALESTROIT,56
55185,55250,48.9823527638,5.1255521249,EVRES,55
50592,50420,48.9633310504,-1.08464396412,TESSY BOCAGE,50
91129,91590,48.4859798517,2.31068283872,CERNY,91
93001,93300,48.9121722626,2.38445513768,AUBERVILLIERS,93
31478,31540,43.4505941916,1.90172958444,ST FELIX LAURAGAIS,31
38544,38200,45.520578372,4.88135156154,VIENNE,38
63113,63100,45.7856492991,3.11554542903,CLERMONT FERRAND,63
30189,30900,43.844938394,4.34806796996,NIMES,30
95607,95150,49.0267316203,2.22116067166,TAVERNY,95
78650,78110,48.8938640591,2.13039312004,LE VESINET,78
44109,44200,47.2316356767,-1.54831008605,NANTES,44
38185,38000,45.1821215167,5.72133051752,GRENOBLE,38
44162,44800,47.2243762412,-1.63434818692,ST HERBLAIN,44
84007,84140,43.9352448339,4.84071572505,AVIGNON,84
56062,56680,47.6951381724,-3.33453004583,GAVRES,56
37011,37420,47.2237767737,0.18754463005,AVOINE,37
34328,34230,43.5790567885,3.56253401848,VENDEMIAN,34
71238,71340,46.2165272056,4.07699692762,IGUERANDE,71
08081,8120,49.8477354025,4.7508301548,BOGNY SUR MEUSE,8
35238,35700,48.1119791219,-1.68186449144,RENNES,35
39413,39370,46.286468541,5.85238812673,LA PESSE,39
81225,81600,43.9157732969,1.96947284122,RIVIERES,81
35012,35470,47.8302948158,-1.67649507218,BAIN DE BRETAGNE,35
95210,95880,48.97016048,2.30485955429,ENGHIEN LES BAINS,95
35288,35400,48.6400443482,-1.98060627256,ST MALO,35
64483,64500,43.3947886873,-1.63099021573,ST JEAN DE LUZ,64
95652,95270,49.1231107932,2.37799676025,VIARMES,95
18033,18000,47.0749572013,2.40417137557,BOURGES,18
11185,11220,43.0957230349,2.60436046295,LAGRASSE,11
30029,30430,44.3122415211,4.34841481782,BARJAC,30
11262,11100,43.1652399898,3.02023868739,NARBONNE,11
78398,78490,48.754542649,1.83436184333,LES MESNULS,78
73073,73310,45.8034782998,5.79654546056,CHANAZ,73
45024,45130,47.8106703162,1.66824027351,BAULE,45
59271,59760,51.0167874642,2.29071143357,GRANDE SYNTHE,59
34301,34200,43.3917705831,3.64705148296,SETE,34
92012,92100,48.8365843138,2.23913599058,BOULOGNE,92
90010,90000,47.6471539414,6.84541206237,BELFORT,90
24051,24130,44.9518343801,0.362233138174,BOSSET,24
06011,6310,43.7079039397,7.33256934881,BEAULIEU SUR MER,6
21054,21200,47.0255189366,4.83767985985,BEAUNE,21
14327,14200,49.2073560619,-0.331022626025,HEROUVILLE ST CLAIR,14
62193,62100,50.9502072754,1.87575566132,CALAIS,62
72181,72000,47.9885256718,0.200030493539,LE MANS,72
34028,34600,43.6125569074,3.16680787195,BEDARIEUX,34
73065,73000,45.583182552,5.90903392417,CHAMBERY,73
56152,56360,47.3426909682,-3.17102952046,LE PALAIS,56
52353,52800,48.037521428,5.36502804198,NOGENT,52
02077,2200,49.3172125296,3.29666086699,BERZY LE SEC,2
59122,59400,50.1702775977,3.24221021072,CAMBRAI,59
61108,61230,48.7765975635,0.357700893574,CISAI ST AUBIN,61
67482,67100,48.5712679849,7.76752679517,STRASBOURG,67
78646,78000,48.8025669671,2.11789297191,VERSAILLES,78
15187,15100,45.0278919825,3.08320563232,ST FLOUR,15
64024,64600,43.4917846595,-1.51623373371,ANGLET,64
94081,94400,48.7882828307,2.39412680533,VITRY SUR SEINE,94
68224,68200,47.749163303,7.32570047509,MULHOUSE,68
52121,52000,48.0980144211,5.14070044621,CHAUMONT,52
94028,94000,48.7837401836,2.45463530415,CRETEIL,94
65059,65200,42.9758668859,0.132640694318,BAGNERES DE BIGORRE,65
06004,6160,43.587465146,7.10635418256,JUAN LES PINS,6
31446,31520,43.5441837911,1.47782372823,RAMONVILLE ST AGNE,31
22055,22520,48.6255350477,-2.8413899481,BINIC,22
33073,33820,45.2544518508,-0.646204430347,BRAUD ET ST LOUIS,33
36044,36000,46.8029617828,1.69399812001,CHATEAUROUX,36
61107,61320,48.5071426572,-0.132794455306,CIRAL,61
14271,14123,49.1444292345,-0.377619145275,FLEURY SUR ORNE,14
25031,25400,47.4811676376,6.85493983157,AUDINCOURT,25
91573,91280,48.6058282604,2.51614926696,ST PIERRE DU PERRAY,91
22039,22210,48.1346308811,-2.66260913976,LA CHEZE,22
60057,60000,49.4365523321,2.08616123661,BEAUVAIS,60
76178,76410,49.316254089,1.03978678909,CLEON,76
22005,22810,48.5310285208,-3.38188859591,BELLE ISLE EN TERRE,22
49292,49750,47.3002199454,-0.640314853216,ST LAMBERT DU LATTAY,49
58059,58400,47.1835862006,3.02885515594,LA CHARITE SUR LOIRE,58
59650,59150,50.7056367285,3.21628221056,WATTRELOS,59
56118,56570,47.7303087589,-3.32842997885,LOCMIQUELIC,56
33449,33160,44.8832620816,-0.784239883546,ST MEDARD EN JALLES,33
13027,13160,43.8824707581,4.83990004648,CHATEAURENARD,13
78361,78200,48.9981665392,1.69337806821,MANTES LA JOLIE,78
25580,25700,47.4647367767,6.82570788244,VALENTIGNEY,25
54395,54000,48.6901995499,6.17588254434,NANCY,54
74012,74100,46.1909730986,6.24250704322,ANNEMASSE,74
78172,78700,49.0001007823,2.0990719052,CONFLANS STE HONORINE,78
67218,67400,48.5200498962,7.73129588098,ILLKIRCH GRAFFENSTADEN,67
49278,49130,47.4281722672,-0.575792781781,STE GEMMES SUR LOIRE,49
79044,79290,47.0350297953,-0.314425439362,BOUILLE ST PAUL,79
30269,30270,44.1071750382,3.87785905992,ST JEAN DU GARD,30
83137,83200,43.1361589728,5.93239634249,TOULON,83
07042,7700,44.3830866916,4.61398365069,BOURG ST ANDEOL,7
59343,59810,50.5892285666,3.11191934713,LESQUIN,59
71076,71100,46.7900288793,4.85191555008,CHALON SUR SAONE,71
44067,44290,47.6278891238,-1.83077595154,GUEMENE PENFAO,44
39056,39140,46.7316211339,5.42781411933,BLETTERANS,39
19031,19100,45.1435830664,1.51936836063,BRIVE LA GAILLARDE,19
69029,69500,45.7344856902,4.91168159471,BRON,69
23243,23140,46.2595513591,2.18852889263,ST SILVAIN SOUS TOULX,23
85039,85530,47.0148006973,-1.18329758318,LA BRUFFIERE,85
51230,51200,49.037000689,3.93144626202,EPERNAY,51
62186,62160,50.4451131556,2.71911165536,BULLY LES MINES,62
73057,73570,45.4538077442,6.56840188785,BRIDES LES BAINS,73
38157,38780,45.5136075933,4.95889651862,ESTRABLIN,38
08105,8000,49.7752965803,4.71724655966,CHARLEVILLE MEZIERES,8
14117,14390,49.2834863414,-0.125512945279,CABOURG,14
76681,76300,49.4104887444,1.09509946531,SOTTEVILLE LES ROUEN,76
26198,26200,44.5540845734,4.74869387765,MONTELIMAR,26
46042,46000,44.4507370916,1.44075837848,CAHORS,46
35168,35330,47.8971012974,-1.99867854689,MAURE DE BRETAGNE,35
44015,44130,47.4628210409,-1.76789479614,BLAIN,44
06029,6400,43.5526202843,7.00427592728,CANNES,6
66041,66600,42.7867407426,2.77853627321,CASES DE PENE,66
47252,47110,44.4058755457,0.599870593015,STE LIVRADE SUR LOT,47
33236,33950,44.7609440223,-1.19293697437,LEGE CAP FERRET,33
06032,6320,43.7247392327,7.40161617522,CAP D AIL,6
52256,52700,48.3053380759,5.49239986278,LAFAUCHE,52
40067,40400,43.871874652,-0.81936363917,CARCEN PONSON,40
2A065,20130,42.1544254567,8.62659836115,CARGESE,2A
13078,13230,43.4148193741,4.80679663589,PORT ST LOUIS DU RHONE,13
83036,83240,43.1819055812,6.52121721395,CAVALAIRE SUR MER,83
21603,21140,47.4909559267,4.34106366761,SEMUR EN AUXOIS,21
83029,83440,43.6125180228,6.75708895004,CALLIAN,83
43234,43170,44.9482034569,3.53883236387,SAUGUES,43
27165,27190,48.9547259686,0.93199579313,CONCHES EN OUCHE,27
85112,85340,46.570163703,-1.7737502368,L ILE D OLONNE,85
76351,76610,49.498452502,0.140153719153,LE HAVRE,76
95127,95000,49.0401131567,2.05082123731,CERGY PONTOISE,95
77337,77186,48.8460926469,2.61997100426,NOISIEL,77
19062,19800,45.3655110046,1.87090523159,CORREZE,19
12208,12400,43.9656694471,2.86653125625,ST AFFRIQUE,12
89068,89800,47.8075995199,3.79091424228,CHABLIS,89
39251,39570,46.6375986496,5.50938673759,GEVINGEY,39
74054,74540,45.7784395221,5.98960566934,CHAINAZ LES FRASSES,74
86288,86260,46.726218827,0.843611918005,VICQ SUR GARTEMPE,86
29058,29170,47.8783078862,-4.01834628474,FOUESNANT,29
74056,74400,45.9309819111,6.92360096711,CHAMONIX MONT BLANC,74
39097,39300,46.7445389751,5.8988102947,CHAMPAGNOLE,39
38567,38410,45.1197427134,5.89438297795,CHAMROUSSE,38
