id_commune,codeINSEE,communeINSEE,codePostal,latitude_x,longitude_x,departement,id_lieu,nom_lieu,adresse_lieu,commune,code_INSEE_Lieu,type_lieu,longitude_y,latitude_y
69,2B033,BASTIA,20200,42.6864768806,9.42502133338,2B,1775,Place du Marche,Rue Sebastiano d'Alzetto,BASTIA,2B033,Parking,9.4509029,42.6972375
69,2B033,BASTIA,20200,42.6864768806,9.42502133338,2B,1776,U Portu di Toga - Port de Toga,Port de Toga,BASTIA,2B033,Parking,9.4537675,42.707582
81,11076,CASTELNAUDARY,11400,43.3230173159,1.96073752488,11,485,Parking de covoiturage de Castelnaudary,A61 Sortie 21 Castelnaudary,CASTELNAUDARY,11076,Aire de covoiturage,1.951646,43.292797
82,79329,THOUARS,79100,46.9828628407,-0.199581467021,79,6716,Parking Route André Colas,Route du Docteur André Colas,THOUARS,79329,Parking,-0.184166667,46.97333333
85,3084,COSNE D ALLIER,3430,46.482962805,2.82323006329,3,76,Parking du Bourg,Place de la LIberté (face garage Renault),COSNE D ALLIER,03084,Parking,2.83054592,46.47558623
87,64422,OLORON STE MARIE,64400,43.1560871189,-0.587546244432,64,5941,Aire de covoiturage de la Plaine Sportive,Route de la Pierre Saint-Martin RD919,OLORON STE MARIE,64422,Aire de covoiturage,-0.627918,43.184557
87,64422,OLORON STE MARIE,64400,43.1560871189,-0.587546244432,64,5942,Aire de covoiturage de la Salle Palas,6 Avenue de Lattre de Tassigny,OLORON STE MARIE,64422,Aire de covoiturage,-0.619685,43.192547
90,67371,LA PETITE PIERRE,67290,48.8657597248,7.32734776032,67,6172,Parking Centre Culturel,65 Rue Principale. 67290 La Petite-Pierre,LA PETITE PIERRE,67371,Parking,7.31925,48.862491
91,53054,CHANGE,53810,48.1079801148,-0.800104772023,53,4559,Aire de covoiturage de La Martiniére - Changé,D31,CHANGE,53054,Aire de covoiturage,-0.84443195,48.10669944
91,53054,CHANGE,53810,48.1079801148,-0.800104772023,53,4560,Parking Relais Technopolis,Rue Albert Einstein,CHANGE,53054,Parking relais,-0.75431018,48.08996984
91,53054,CHANGE,53810,48.1079801148,-0.800104772023,53,4561,Aire de covoiturage de La Martiniére - Changé,D31,CHANGE,53054,Aire de covoiturage,-0.84443195,48.10669944
91,53054,CHANGE,53810,48.1079801148,-0.800104772023,53,4562,Parking Relais Technopolis,Rue Albert Einstein,CHANGE,53054,Parking relais,-0.75431018,48.08996984
91,53054,CHANGE,53810,48.1079801148,-0.800104772023,53,6444,Parking de covoiturage du Mans ZI Sud,A28 Sortie 23 Le Mans ZI Sud,CHANGE,72058,Aire de covoiturage,0.311337,48.005521
99,63113,CLERMONT FERRAND,63100,45.7856492991,3.11554542903,63,5818,Parking Place Henri dunant,72 Rue des Liondards. 63000 Clermont-Ferrand,CLERMONT FERRAND,63113,Parking,3.08982784,45.76181601
100,30189,NIMES,30900,43.844938394,4.34806796996,30,1811,Parking de covoiturage de Nîmes Est,A9 Sortie 24 Nîmes Est,NIMES,30189,Aire de covoiturage,4.418366,43.857835
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3703,Aire de covoiturage Bois des Anses,Route de Sainte Luce,NANTES,44109,Aire de covoiturage,-1.495068533,47.24705844
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3704,Aire de covoiturage Carrefour Beaujoire,1 Avenue Flora Tristan,NANTES,44109,Aire de covoiturage,-1.509832157,47.25787791
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3705,Parking Feydeau,Parvis Neptune,NANTES,44109,Aire de covoiturage,-1.55255879,47.2140753
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3706,Parking Gare Nord,Cours John Kennedy,NANTES,44109,Aire de covoiturage,-1.544984341,47.21668904
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3707,Parking Graslin,Rue Scribe,NANTES,44109,Aire de covoiturage,-1.562571823,47.21431021
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3708,Parking Talensac,Rue Le Nétre,NANTES,44109,Aire de covoiturage,-1.558357306,47.22025598
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3709,Parking Tour Bretagne,4 Place de Bretagne,NANTES,44109,Aire de covoiturage,-1.558250026,47.21784289
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3710,Port Autonome de Nantes Saint Nazaire,18 Quai Ernest Renaud,NANTES,44109,Aire de covoiturage,-1.574711361,47.20551112
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3711,Port de L'Erdre,Quai de Versailles,NANTES,44109,Aire de covoiturage,-1.553724604,47.22520358
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3712,Service Maritime Et Navigation Ecluse Saint Félix,Quai Ferdinand Favre,NANTES,44109,Aire de covoiturage,-1.540899006,47.21252861
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3713,Capitainerie du Port Atlantique Nantes Saint Nazaire,Quai Ernest Renaud,NANTES,44109,Parking,-1.573981398,47.20540078
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3714,P+R Busway Bourdonniéres,Rue des Bourdonniéres,NANTES,44109,Parking relais,-1.521337484,47.18597421
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3715,P+R Busway Gréneraie,Route de Saint Sébastien,NANTES,44109,Parking relais,-1.53333363,47.20013904
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3716,P+R Chronobus Chantrerie - Grandes Ecoles,Route de Gachet,NANTES,44109,Parking relais,-1.518474602,47.28109415
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3717,P+R Chronobus Prairie de Mauves,Boulevard de la Prairie de Mauves,NANTES,44109,Parking relais,-1.515851362,47.22025584
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3718,P+R Tram-Train Haluchére 1,Rue du Ranzai,NANTES,44109,Parking relais,-1.52283118,47.24845034
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3719,P+R Tram-Train Haluchére 2,14 Rue du Ranzai,NANTES,44109,Parking relais,-1.524975202,47.25023006
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3720,P+R Tramway Goudy,Rue Gabriel Goudy,NANTES,44109,Parking relais,-1.541047754,47.19609895
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3721,P+R Tramway La Beaujoire,Rue Colette,NANTES,44109,Parking relais,-1.526680961,47.25949518
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3722,P+R Tramway Ranzay,Route de Saint Joseph,NANTES,44109,Parking relais,-1.533136661,47.25436327
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3723,P+R Tramway Recteur Schmitt 1,Rue Recteur Schmitt,NANTES,44109,Parking relais,-1.552903111,47.25173525
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3724,P+R Tramway René Cassin,Route de la Chapelle Sur Erdre,NANTES,44109,Parking relais,-1.574997914,47.26395093
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3725,P+R Tramway Santos dumont,Rue des Renards,NANTES,44109,Parking relais,-1.568227114,47.25932367
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3726,Parking Aristide Briand,Place Aristide Briand,NANTES,44109,Parking,-1.562936425,47.2170936
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3727,Parking Baco-Lu 1 Cété Gare,Allée Baco,NANTES,44109,Parking,-1.548988835,47.21433242
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3728,Parking Baco-Lu 2 Cété Chu,Allée Baco,NANTES,44109,Parking,-1.551604264,47.21315098
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3729,Parking Bellamy,Impasse de la Courtine,NANTES,44109,Parking,-1.557693699,47.22236042
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3730,Parking Cathédrale,Rue Sully,NANTES,44109,Parking,-1.551056175,47.22081335
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3731,Parking Chantiers Navals,Quai de la Fosse,NANTES,44109,Parking,-1.568915616,47.20828932
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3732,Parking Chéteau,Rue Henri IV,NANTES,44109,Parking,-1.547850456,47.21698996
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3733,Parking Chu 1,Quai de Tourville,NANTES,44109,Parking,-1.557250241,47.20936197
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3734,Parking Chu 2,Quai Moncousu,NANTES,44109,Parking,-1.552913894,47.20889025
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3735,Parking Cité des Congrés,Avenue Jean Claude Bonduelle,NANTES,44109,Parking,-1.543971284,47.21290167
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3736,Parking Commerce,Place du Commerce,NANTES,44109,Parking,-1.557713226,47.21312029
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3737,Parking decré-Bouffay,18 Rue du Moulin,NANTES,44109,Parking,-1.554004639,47.21666262
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3738,Parking Gloriette 1,Allée de l'Ile Gloriette,NANTES,44109,Parking,-1.558438736,47.21117966
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3739,Parking Gloriette 2,Rue Albert de Mun,NANTES,44109,Parking,-1.560284375,47.21027369
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3740,Parking Hétel Dieu,Chaussée de la Madeleine,NANTES,44109,Parking,-1.551983119,47.21105709
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3741,Parking Les Fonderies,Rue de la Porte Gellée,NANTES,44109,Parking,-1.544332961,47.20497047
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3742,Parking Les Machines,Rue Arthur III,NANTES,44109,Parking,-1.562727799,47.20590062
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3743,Parking Médiathéque,Rue Neuve des Capucins,NANTES,44109,Parking,-1.562338182,47.21087083
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3744,P+R Busway Gréneraie,Route de Saint Sébastien,NANTES,44109,Parking relais,-1.53333363,47.20013904
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3745,P+R Tramway Goudy,Rue Gabriel Goudy,NANTES,44109,Parking relais,-1.541047754,47.19609895
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3746,Parking Chéteau,Rue Henri IV,NANTES,44109,Parking,-1.547850456,47.21698996
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3747,Parking Hétel Dieu,Chaussée de la Madeleine,NANTES,44109,Parking,-1.551983119,47.21105709
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3748,Parking Les Machines,Rue Arthur III,NANTES,44109,Parking,-1.562727799,47.20590062
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3749,Parking Médiathéque,Rue Neuve des Capucins,NANTES,44109,Parking,-1.562338182,47.21087083
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3750,Service Maritime Et Navigation Ecluse Saint Félix,Quai Ferdinand Favre,NANTES,44109,Aire de covoiturage,-1.540899006,47.21252861
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3751,P+R Chronobus Chantrerie - Grandes Ecoles,Route de Gachet,NANTES,44109,Parking relais,-1.518474602,47.28109415
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3752,P+R Tramway Santos dumont,Rue des Renards,NANTES,44109,Parking relais,-1.568227114,47.25932367
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3753,Parking Baco-Lu 1 Cété Gare,Allée Baco,NANTES,44109,Parking,-1.548988835,47.21433242
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3754,Parking Les Fonderies,Rue de la Porte Gellée,NANTES,44109,Parking,-1.544332961,47.20497047
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3755,Aire de covoiturage Bois des Anses,Route de Sainte Luce,NANTES,44109,Aire de covoiturage,-1.495068533,47.24705844
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3756,Capitainerie du Port Atlantique Nantes Saint Nazaire,Quai Ernest Renaud,NANTES,44109,Parking,-1.573981398,47.20540078
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3757,P+R Tramway La Beaujoire,Rue Colette,NANTES,44109,Parking relais,-1.526680961,47.25949518
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3758,P+R Tramway René Cassin,Route de la Chapelle Sur Erdre,NANTES,44109,Parking relais,-1.574997914,47.26395093
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3759,Parking decré-Bouffay,18 Rue du Moulin,NANTES,44109,Parking,-1.554004639,47.21666262
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3760,Parking Feydeau,Parvis Neptune,NANTES,44109,Aire de covoiturage,-1.55255879,47.2140753
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3761,Parking Graslin,Rue Scribe,NANTES,44109,Aire de covoiturage,-1.562571823,47.21431021
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3762,Port Autonome de Nantes Saint Nazaire,18 Quai Ernest Renaud,NANTES,44109,Aire de covoiturage,-1.574711361,47.20551112
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3763,P+R Busway Bourdonniéres,Rue des Bourdonniéres,NANTES,44109,Parking relais,-1.521337484,47.18597421
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3764,P+R Tram-Train Haluchére 2,14 Rue du Ranzai,NANTES,44109,Parking relais,-1.524975202,47.25023006
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3765,P+R Tramway Recteur Schmitt 1,Rue Recteur Schmitt,NANTES,44109,Parking relais,-1.552903111,47.25173525
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3766,Parking Aristide Briand,Place Aristide Briand,NANTES,44109,Parking,-1.562936425,47.2170936
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3767,Parking Chu 1,Quai de Tourville,NANTES,44109,Parking,-1.557250241,47.20936197
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3768,Parking Tour Bretagne,4 Place de Bretagne,NANTES,44109,Aire de covoiturage,-1.558250026,47.21784289
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3769,P+R Chronobus Prairie de Mauves,Boulevard de la Prairie de Mauves,NANTES,44109,Parking relais,-1.515851362,47.22025584
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3770,Parking Cathédrale,Rue Sully,NANTES,44109,Parking,-1.551056175,47.22081335
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3771,Parking Chantiers Navals,Quai de la Fosse,NANTES,44109,Parking,-1.568915616,47.20828932
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3772,Parking Chu 2,Quai Moncousu,NANTES,44109,Parking,-1.552913894,47.20889025
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3773,Parking Gloriette 1,Allée de l'Ile Gloriette,NANTES,44109,Parking,-1.558438736,47.21117966
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3774,Parking Talensac,Rue Le Nétre,NANTES,44109,Aire de covoiturage,-1.558357306,47.22025598
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3775,Port de L'Erdre,Quai de Versailles,NANTES,44109,Aire de covoiturage,-1.553724604,47.22520358
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3776,P+R Tram-Train Haluchére 1,Rue du Ranzai,NANTES,44109,Parking relais,-1.52283118,47.24845034
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3777,P+R Tramway Ranzay,Route de Saint Joseph,NANTES,44109,Parking relais,-1.533136661,47.25436327
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3778,Parking Baco-Lu 2 Cété Chu,Allée Baco,NANTES,44109,Parking,-1.551604264,47.21315098
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3779,Parking Bellamy,Impasse de la Courtine,NANTES,44109,Parking,-1.557693699,47.22236042
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3780,Parking Commerce,Place du Commerce,NANTES,44109,Parking,-1.557713226,47.21312029
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3781,Parking Gloriette 2,Rue Albert de Mun,NANTES,44109,Parking,-1.560284375,47.21027369
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3782,Aire de covoiturage Carrefour Beaujoire,1 Avenue Flora Tristan,NANTES,44109,Aire de covoiturage,-1.509832157,47.25787791
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3783,Parking Gare Nord,Cours John Kennedy,NANTES,44109,Aire de covoiturage,-1.544984341,47.21668904
103,44109,NANTES,44200,47.2316356767,-1.54831008605,44,3784,Parking Cité des Congrés,Avenue Jean Claude Bonduelle,NANTES,44109,Parking,-1.543971284,47.21290167
105,44162,ST HERBLAIN,44800,47.2243762412,-1.63434818692,44,3881,Aire de covoiturage Frachon,Boulevard Salvador Allende,ST HERBLAIN,44162,Aire de covoiturage,-1.621572412,47.21847972
105,44162,ST HERBLAIN,44800,47.2243762412,-1.63434818692,44,3882,Aire de covoiturage Norauto Atlantis,Rue Océane,ST HERBLAIN,44162,Aire de covoiturage,-1.626246418,47.22572392
105,44162,ST HERBLAIN,44800,47.2243762412,-1.63434818692,44,3883,P+R Ter Gare de Basse-Indre Nord,Rue de la Gare,ST HERBLAIN,44162,Parking relais,-1.6605883,47.20437363
105,44162,ST HERBLAIN,44800,47.2243762412,-1.63434818692,44,3884,P+R Ter Gare de Basse-Indre Sud,Rue de la Gare,ST HERBLAIN,44162,Parking relais,-1.661038103,47.20415797
105,44162,ST HERBLAIN,44800,47.2243762412,-1.63434818692,44,3885,P+R Tramway Franéois Mitterrand,Rue Virginia Woolf,ST HERBLAIN,44162,Parking relais,-1.639484149,47.2217062
105,44162,ST HERBLAIN,44800,47.2243762412,-1.63434818692,44,3886,P+R Tramway Marcel Paul,Boulevard Marcel Paul,ST HERBLAIN,44162,Parking relais,-1.618008356,47.24590457
105,44162,ST HERBLAIN,44800,47.2243762412,-1.63434818692,44,3887,P+R Ter Gare de Basse-Indre Nord,Rue de la Gare,ST HERBLAIN,44162,Parking relais,-1.6605883,47.20437363
105,44162,ST HERBLAIN,44800,47.2243762412,-1.63434818692,44,3888,P+R Tramway Marcel Paul,Boulevard Marcel Paul,ST HERBLAIN,44162,Parking relais,-1.618008356,47.24590457
105,44162,ST HERBLAIN,44800,47.2243762412,-1.63434818692,44,3889,Aire de covoiturage Norauto Atlantis,Rue Océane,ST HERBLAIN,44162,Aire de covoiturage,-1.626246418,47.22572392
105,44162,ST HERBLAIN,44800,47.2243762412,-1.63434818692,44,3890,P+R Tramway Franéois Mitterrand,Rue Virginia Woolf,ST HERBLAIN,44162,Parking relais,-1.639484149,47.2217062
105,44162,ST HERBLAIN,44800,47.2243762412,-1.63434818692,44,3891,Aire de covoiturage Frachon,Boulevard Salvador Allende,ST HERBLAIN,44162,Aire de covoiturage,-1.621572412,47.21847972
105,44162,ST HERBLAIN,44800,47.2243762412,-1.63434818692,44,3892,P+R Ter Gare de Basse-Indre Sud,Rue de la Gare,ST HERBLAIN,44162,Parking relais,-1.661038103,47.20415797
112,35238,RENNES,35700,48.1119791219,-1.68186449144,35,2547,Aire de covoiturage Le Patis Tatelin,La Brandais,RENNES,35238,Aire de covoiturage,-1.625830333,48.15427533
113,39413,LA PESSE,39370,46.286468541,5.85238812673,39,3229,Village,18 Rue de l'Epicéa. 39370 La Pesse,LA PESSE,39413,Parking,5.846764,46.283426
115,35012,BAIN DE BRETAGNE,35470,47.8302948158,-1.67649507218,35,2382,Parking covoiturage de Bain-De-Bretagne,Rue de la Seine,BAIN DE BRETAGNE,35012,Parking,-1.691320666,47.851885
115,35012,BAIN DE BRETAGNE,35470,47.8302948158,-1.67649507218,35,2383,Parking La Croix Blanche,La Croix Blanche,BAIN DE BRETAGNE,35012,Parking,-1.680102914,47.85371358
120,18033,BOURGES,18000,47.0749572013,2.40417137557,18,1186,Parking de covoiturage de Bourges,A71 Sortie 7 Bourges,BOURGES,18033,Aire de covoiturage,2.342195,47.046055
123,11262,NARBONNE,11100,43.1652399898,3.02023868739,11,490,Aire de covoiturage de Narbonne,D6009,NARBONNE,11262,Aire de covoiturage,2.98888,43.16498
126,45024,BAULE,45130,47.8106703162,1.66824027351,45,4007,Aire de covoiturage de Baule,D2. 45130 Baule,BAULE,45024,Aire de covoiturage,1.68254968,47.82105934
130,90010,BELFORT,90000,47.6471539414,6.84541206237,90,7252,Parking Cambrai,2 Rue de Cambrai. 90000 Belfort,BELFORT,90010,Parking,6.859393,47.636828
130,90010,BELFORT,90000,47.6471539414,6.84541206237,90,7253,Parking Centre Commercial Rue de Madrid,Liberté Follereau. 90000 Belfort,BELFORT,90010,Parking,6.845228,47.636366
130,90010,BELFORT,90000,47.6471539414,6.84541206237,90,7254,Parking Centre Théétre,1bis Rue des Capucins. 90000 Belfort,BELFORT,90010,Parking,6.857971,47.635689
130,90010,BELFORT,90000,47.6471539414,6.84541206237,90,7255,Parking Cinéma des Quais,Multiplexe. 90000 Belfort,BELFORT,90010,Parking,6.861555,47.628888
130,90010,BELFORT,90000,47.6471539414,6.84541206237,90,7256,Parking Coinot,2 Rue Président Roosevelt. 90000 Belfort,BELFORT,90010,Parking,6.852513,47.633994
