codeINSEE,communeINSEE,codePostal,latitude,longitude,departement
38185,GRENOBLE,38000,45.1821215167,5.72133051752,38
44162,ST HERBLAIN,44800,47.2243762412,-1.63434818692,44
84007,AVIGNON,84140,43.9352448339,4.84071572505,84
56062,GAVRES,56680,47.6951381724,-3.33453004583,56
37011,AVOINE,37420,47.2237767737,0.18754463005,37
34328,VENDEMIAN,34230,43.5790567885,3.56253401848,34
71238,IGUERANDE,71340,46.2165272056,4.07699692762,71
08081,BOGNY SUR MEUSE,8120,49.8477354025,4.7508301548,8
35238,RENNES,35700,48.1119791219,-1.68186449144,35
39413,LA PESSE,39370,46.286468541,5.85238812673,39
81225,RIVIERES,81600,43.9157732969,1.96947284122,81
35012,BAIN DE BRETAGNE,35470,47.8302948158,-1.67649507218,35
95210,ENGHIEN LES BAINS,95880,48.97016048,2.30485955429,95
35288,ST MALO,35400,48.6400443482,-1.98060627256,35
64483,ST JEAN DE LUZ,64500,43.3947886873,-1.63099021573,64
95652,VIARMES,95270,49.1231107932,2.37799676025,95
18033,BOURGES,18000,47.0749572013,2.40417137557,18
11185,LAGRASSE,11220,43.0957230349,2.60436046295,11
30029,BARJAC,30430,44.3122415211,4.34841481782,30
11262,NARBONNE,11100,43.1652399898,3.02023868739,11
78398,LES MESNULS,78490,48.754542649,1.83436184333,78
73073,CHANAZ,73310,45.8034782998,5.79654546056,73
45024,BAULE,45130,47.8106703162,1.66824027351,45
59271,GRANDE SYNTHE,59760,51.0167874642,2.29071143357,59
34301,SETE,34200,43.3917705831,3.64705148296,34
92012,BOULOGNE,92100,48.8365843138,2.23913599058,92
90010,BELFORT,90000,47.6471539414,6.84541206237,90
24051,BOSSET,24130,44.9518343801,0.362233138174,24
06011,BEAULIEU SUR MER,6310,43.7079039397,7.33256934881,6
21054,BEAUNE,21200,47.0255189366,4.83767985985,21
14327,HEROUVILLE ST CLAIR,14200,49.2073560619,-0.331022626025,14
62193,CALAIS,62100,50.9502072754,1.87575566132,62
72181,LE MANS,72000,47.9885256718,0.200030493539,72
34028,BEDARIEUX,34600,43.6125569074,3.16680787195,34
73065,CHAMBERY,73000,45.583182552,5.90903392417,73
56152,LE PALAIS,56360,47.3426909682,-3.17102952046,56
52353,NOGENT,52800,48.037521428,5.36502804198,52
02077,BERZY LE SEC,2200,49.3172125296,3.29666086699,2
59122,CAMBRAI,59400,50.1702775977,3.24221021072,59
61108,CISAI ST AUBIN,61230,48.7765975635,0.357700893574,61
67482,STRASBOURG,67100,48.5712679849,7.76752679517,67
78646,VERSAILLES,78000,48.8025669671,2.11789297191,78
15187,ST FLOUR,15100,45.0278919825,3.08320563232,15
64024,ANGLET,64600,43.4917846595,-1.51623373371,64
94081,VITRY SUR SEINE,94400,48.7882828307,2.39412680533,94
68224,MULHOUSE,68200,47.749163303,7.32570047509,68
52121,CHAUMONT,52000,48.0980144211,5.14070044621,52
94028,CRETEIL,94000,48.7837401836,2.45463530415,94
65059,BAGNERES DE BIGORRE,65200,42.9758668859,0.132640694318,65
93066,LA PLAINE ST DENIS,93200,48.9295650455,2.3592429975,93
06004,JUAN LES PINS,6160,43.587465146,7.10635418256,6
31446,RAMONVILLE ST AGNE,31520,43.5441837911,1.47782372823,31
22055,BINIC,22520,48.6255350477,-2.8413899481,22
33073,BRAUD ET ST LOUIS,33820,45.2544518508,-0.646204430347,33
36044,CHATEAUROUX,36000,46.8029617828,1.69399812001,36
61107,CIRAL,61320,48.5071426572,-0.132794455306,61
14271,FLEURY SUR ORNE,14123,49.1444292345,-0.377619145275,14
25031,AUDINCOURT,25400,47.4811676376,6.85493983157,25
91573,ST PIERRE DU PERRAY,91280,48.6058282604,2.51614926696,91
22039,LA CHEZE,22210,48.1346308811,-2.66260913976,22
60057,BEAUVAIS,60000,49.4365523321,2.08616123661,60
76178,CLEON,76410,49.316254089,1.03978678909,76
22005,BELLE ISLE EN TERRE,22810,48.5310285208,-3.38188859591,22
49292,ST LAMBERT DU LATTAY,49750,47.3002199454,-0.640314853216,49
58059,LA CHARITE SUR LOIRE,58400,47.1835862006,3.02885515594,58
59650,WATTRELOS,59150,50.7056367285,3.21628221056,59
56118,LOCMIQUELIC,56570,47.7303087589,-3.32842997885,56
33449,ST MEDARD EN JALLES,33160,44.8832620816,-0.784239883546,33
13027,CHATEAURENARD,13160,43.8824707581,4.83990004648,13
78361,MANTES LA JOLIE,78200,48.9981665392,1.69337806821,78
25580,VALENTIGNEY,25700,47.4647367767,6.82570788244,25
54395,NANCY,54000,48.6901995499,6.17588254434,54
74012,ANNEMASSE,74100,46.1909730986,6.24250704322,74
78172,CONFLANS STE HONORINE,78700,49.0001007823,2.0990719052,78
67218,ILLKIRCH GRAFFENSTADEN,67400,48.5200498962,7.73129588098,67
49278,STE GEMMES SUR LOIRE,49130,47.4281722672,-0.575792781781,49
79044,BOUILLE ST PAUL,79290,47.0350297953,-0.314425439362,79
30269,ST JEAN DU GARD,30270,44.1071750382,3.87785905992,30
83137,TOULON,83200,43.1361589728,5.93239634249,83
07042,BOURG ST ANDEOL,7700,44.3830866916,4.61398365069,7
59343,LESQUIN,59810,50.5892285666,3.11191934713,59
71076,CHALON SUR SAONE,71100,46.7900288793,4.85191555008,71
44067,GUEMENE PENFAO,44290,47.6278891238,-1.83077595154,44
39056,BLETTERANS,39140,46.7316211339,5.42781411933,39
19031,BRIVE LA GAILLARDE,19100,45.1435830664,1.51936836063,19
69029,BRON,69500,45.7344856902,4.91168159471,69
23243,ST SILVAIN SOUS TOULX,23140,46.2595513591,2.18852889263,23
85039,LA BRUFFIERE,85530,47.0148006973,-1.18329758318,85
