id_commune,code_insee,code_postal,latitude,longitude,nom_commune,id_departement
1172,21295,21220,47.2200822946,4.98301612333,GEVREY CHAMBERTIN,13
1173,66175,66740,42.5501690702,2.92022187545,ST GENIS DES FONTAINES,6
1174,24396,24220,44.8825740011,1.02538984639,ST CYPRIEN,64
1175,14515,14520,49.3396014282,-0.772708434394,PORT EN BESSIN HUPPAIN,37
1176,11245,11330,42.9046014463,2.62879585851,MONTGAILLARD,29
1177,51287,51160,49.085558433,3.94419700261,HAUTVILLERS,77
1178,43268,43200,45.1393761299,4.13104937731,TENCE,39
1179,24376,24410,45.1823303924,0.136303399419,ST AULAYE PUYMANGOU,64
1180,56241,56360,47.353750697,-3.23035128949,SAUZON,32
1181,35281,35136,48.0755625884,-1.72405381322,ST JACQUES DE LA LANDE,40
1182,5010,5140,44.5617512104,5.77203298744,ASPRES SUR BUECH,33
1183,59512,59100,50.6879774811,3.18258434623,ROUBAIX,18
1185,77333,77140,48.2596067909,2.71107993087,NEMOURS,80
1186,86177,86170,46.6823102624,0.254645073675,NEUVILLE DE POITOU,10
1187,39235,39700,47.1244743587,5.75661818843,FRAISANS,59
1188,74131,74270,46.0231025542,5.92267414864,FRANGY,36
1189,27375,27400,49.2206099164,1.15340030158,LOUVIERS,79
1190,89202,89290,47.7118538877,3.68956867667,IRANCY,27
1191,17274,17180,46.1574551352,-1.08886084864,PERIGNY,85
1192,69264,69400,45.9874596667,4.73174007305,VILLEFRANCHE SUR SAONE,8
1193,33223,33210,44.7425058294,0.160918010334,LANGON,2
1194,6043,6390,43.8664901786,7.29913349222,COARAZE,20
1195,2B205,20253,42.7066867042,9.3670488048,PATRIMONIO,46
1196,34310,34490,43.4132925116,3.15810877475,THEZAN LES BEZIERS,7
1197,26196,26760,44.8558469973,4.92784684928,MONTELEGER,19
1198,13063,13140,43.5842134124,5.01384348574,MIRAMAS,1
1199,85094,85240,46.5230750581,-0.687135962627,FOUSSAIS PAYRE,11
1200,44093,44540,47.4827042599,-1.11902046549,MAUMUSSON,56
1201,97415,97460,-21.0445317522,55.3223334298,ST PAUL,96
1202,1283,1100,46.2605435859,5.65344320923,OYONNAX,9
1203,60151,60750,49.442089833,2.89567270285,CHOISY AU BAC,47
1204,59410,59370,50.6432478699,3.1087677878,MONS EN BARUL,18
1205,42095,42700,45.3788146093,4.28879456136,FIRMINY,4
1206,79339,79340,46.5737648617,-0.0494104571753,VASLES,50
1207,52269,52200,47.8591544821,5.33880466821,LANGRES,66
1208,5046,5200,44.5804294908,6.47559298927,EMBRUN,33
1209,29151,29600,48.5996746612,-3.82052019963,MORLAIX,22
1210,50499,50670,48.7494442333,-1.11520234761,ST LAURENT DE CUVES,54
1211,26063,26170,44.276084918,5.27102720538,BUIS LES BARONNIES,19
1212,94038,94240,48.7763207843,2.33772915609,L HAY LES ROSES,69
1213,93057,93320,48.9082060253,2.50297448267,LES PAVILLONS SOUS BOIS,26
1214,85089,85280,46.7215872927,-1.33469332327,LA FERRIERE,11
1215,37130,37240,47.0423190397,0.817374235768,LIGUEIL,35
1216,76564,76740,49.8888204893,0.875914099002,ST AUBIN SUR MER,24
1217,33394,33330,44.8999911844,-0.169955105989,ST EMILION,2
1218,67130,67150,48.4213687934,7.68523629922,ERSTEIN,52
1219,38359,38160,45.1722353559,5.21609050981,ST ANTOINE L ABBAYE,3
1220,67348,67210,48.4593467321,7.48006434701,OBERNAI,52
1221,22325,22410,48.6542475006,-2.84382337656,ST QUAY PORTRIEUX,5
1222,69299,69124,45.7178013267,5.10337456661,COLOMBIER SAUGNIEU,8
1223,92020,92320,48.8034091756,2.28799131883,CHATILLON,62
1224,54273,54800,49.1495784035,5.88121522823,JARNY,44
1225,74042,74130,46.0739003968,6.40868532191,BONNEVILLE,36
1226,84019,84500,44.2882016409,4.75235956257,BOLLENE,41
1227,67261,67630,48.9637116345,8.18637725776,LAUTERBOURG,52
